0,Budget,0.3131538513624267
1,Experiment,0.1376378503034254
2,Init Samples,0.00127682296940615
3,xi,0.0001522825030772385
4,kappa,0.00024263546614101213
0,Budget,0.1635155560247908
1,Experiment,0.19614304480987732
2,Init Samples,0.005053269878275486
3,xi,0.00013097621571506098
4,kappa,0.00021321157831436616
0,Budget,0.2808351625814507
1,Experiment,0.12810960604962807
2,Init Samples,0.0014431988197974304
3,xi,0.0009077660641187898
4,kappa,0.0004467026393948152
0,Budget,0.24834811274889645
1,Experiment,0.18167024798029152
2,Init Samples,0.001956862397851161
3,xi,0.00020193596182313512
4,kappa,0.000344598267396991
0,Budget,0.2515114715390322
1,Experiment,0.19779010185604584
2,Init Samples,0.0021815292853078023
3,xi,0.0001338251557680679
4,kappa,0.0009664741101750888
0,Budget,0.5645121685341579
1,Experiment,0.04267624821562575
2,Init Samples,0.0035924081338940994
3,xi,0.003759696989968664
4,kappa,0.0021763953241649772
0,Budget,0.41814774974572033
1,Experiment,0.09559664142059081
2,Init Samples,0.0006044869830236367
3,xi,0.0013896824893517318
4,kappa,0.0026497628101582117
0,Budget,0.4439362648940191
1,Experiment,0.08346847392085376
2,Init Samples,0.0031589614108260694
3,xi,0.00899391002814947
4,kappa,0.008020452131138032
0,Budget,0.37155561180677676
1,Experiment,0.12024926127982978
2,Init Samples,0.00431351988947235
3,xi,0.0006980836064197472
4,kappa,0.0006155623384860084
0,Budget,0.443458741855336
1,Experiment,0.08305987101444134
2,Init Samples,0.008410489167719604
3,xi,0.001072733532245975
4,kappa,0.0005896032593365973
0,Budget,0.2735229553958685
1,Experiment,0.17556852862677322
2,Init Samples,0.0016750277292305455
3,xi,0.00019439663523890813
4,kappa,0.00021398428863409516
0,Budget,0.23195819485258523
1,Experiment,0.18912218336267472
2,Init Samples,0.0025604877032419423
3,xi,0.00016162634248631668
4,kappa,0.0003980512805039811
0,Budget,0.2986166761331559
1,Experiment,0.10413064202182598
2,Init Samples,0.0007183118089967176
3,xi,6.673597045092327e-05
4,kappa,0.00019326999165225316
0,Budget,0.34392194184470737
1,Experiment,0.13322031737518986
2,Init Samples,0.0015646466821083377
3,xi,0.00013858038359151502
4,kappa,0.0002628014883943545
0,Budget,0.32327184320169566
1,Experiment,0.10084716093206263
2,Init Samples,0.0008197386279113212
3,xi,9.77065227807394e-05
4,kappa,0.00019194948691679406
0,Budget,0.17252100107387155
1,Experiment,0.21580643778224293
2,Init Samples,0.005480085390780626
3,xi,0.00012063632222552583
4,kappa,0.00023023689539950572
0,Budget,0.2781328655916732
1,Experiment,0.1499790105232578
2,Init Samples,0.003139837489648807
3,xi,0.0001704004682332027
4,kappa,0.0005720497432721565
0,Budget,0.18222963285707436
1,Experiment,0.2435510322602466
2,Init Samples,0.00972310966633089
3,xi,0.0001678952383234411
4,kappa,0.00027547706912479713
0,Budget,0.2775347424665805
1,Experiment,0.14042946852337052
2,Init Samples,0.0015070233255226342
3,xi,0.0003785594245936108
4,kappa,0.0002536721117057496
0,Budget,0.25189373359261924
1,Experiment,0.10984731758624536
2,Init Samples,0.004416124844039261
3,xi,0.00012083653668377552
4,kappa,0.00011985034585147453
0,Budget,0.27949582915964166
1,Experiment,0.1654437387172866
2,Init Samples,0.010458491668823058
3,xi,0.00016846899179733888
4,kappa,0.0003168740175243063
0,Budget,0.2999496394000464
1,Experiment,0.19159617683258068
2,Init Samples,0.004667575225502339
3,xi,0.0001264854413638351
4,kappa,0.0002302598442057832
0,Budget,0.1418086147894717
1,Experiment,0.10135588241423671
2,Init Samples,0.0012861180494784792
3,xi,0.00023856077421490724
4,kappa,0.0003387785432130803
0,Budget,0.2085330643885357
1,Experiment,0.1483750201496972
2,Init Samples,0.016411950816141694
3,xi,0.00020368881220137608
4,kappa,0.00041905176187870003
0,Budget,0.26852145477224
1,Experiment,0.17774353781713534
2,Init Samples,0.007938631777822138
3,xi,0.0001957365326044012
4,kappa,0.00017304553264703215
0,Budget,0.26773321952104895
1,Experiment,0.120584072149024
2,Init Samples,0.001416720232007066
3,xi,0.00012898341907467665
4,kappa,0.00011950201086809482
0,Budget,0.15162693902163468
1,Experiment,0.19455229191354723
2,Init Samples,0.008811550343315041
3,xi,9.771632590707632e-05
4,kappa,0.0001975308755519267
0,Budget,0.24313744872882442
1,Experiment,0.17336777446751328
2,Init Samples,0.0011940511336820687
3,xi,0.00029955259625393703
4,kappa,0.00018692019690979943
0,Budget,0.5856733168958315
1,Experiment,0.0283576809328226
2,Init Samples,0.006424853981032671
3,xi,0.0005995228515135651
4,kappa,0.00020499351915049404
0,Budget,0.5216531581007853
1,Experiment,0.030311097432556472
2,Init Samples,0.009566699056502481
3,xi,0.00023712564069836874
4,kappa,0.0009690071554099544
0,Budget,0.5156495771711898
1,Experiment,0.06330130353063124
2,Init Samples,0.01836746016967368
3,xi,0.0005083592638578426
4,kappa,0.00032907862358536
0,Budget,0.20349909457047266
1,Experiment,0.17614769028921357
2,Init Samples,0.0036157397047369734
3,xi,0.0009376615023535663
4,kappa,0.00039109486190413057
0,Budget,0.5161080022697704
1,Experiment,0.03731585920780391
2,Init Samples,0.0046425178494291335
3,xi,0.0033966460530942206
4,kappa,0.0011959778816536645
0,Budget,0.4739936802647513
1,Experiment,0.06588200142058563
2,Init Samples,0.008056870492687437
3,xi,0.0017643762235006674
4,kappa,0.0006530166628915272
0,Budget,0.4253354051215382
1,Experiment,0.05295212359610374
2,Init Samples,0.004091798441071401
3,xi,0.00022542890244935145
4,kappa,0.0003799482222757435
0,Budget,0.5275792401368489
1,Experiment,0.03495844990938389
2,Init Samples,0.0012603404893168665
3,xi,0.003765731632306396
4,kappa,0.002077665447555122
0,Budget,0.3089534600605233
1,Experiment,0.10999477186032625
2,Init Samples,0.001699320895029068
3,xi,0.00030931553295969293
4,kappa,0.00027103976053511085
0,Budget,0.29861070284089075
1,Experiment,0.12579376496093497
2,Init Samples,0.0050656700353040145
3,xi,0.00029981519979495834
4,kappa,0.00038279541897677283
0,Budget,0.29558079327115666
1,Experiment,0.10349054088730737
2,Init Samples,0.002681782538647464
3,xi,0.0010294238460895823
4,kappa,0.0004240901420665146
0,Budget,0.126494749242362
1,Experiment,0.29070554549856525
2,Init Samples,0.013139536705388746
3,xi,0.0005490398298797774
4,kappa,0.0002720304215360266
0,Budget,0.13521650243898067
1,Experiment,0.10463021502604128
2,Init Samples,0.0009405104562028057
3,xi,0.0005920186012119573
4,kappa,0.00038042617290306763
0,Budget,0.199371274454483
1,Experiment,0.15696535166096634
2,Init Samples,0.005627053100543482
3,xi,0.004366796291733443
4,kappa,0.0004182020599493763
0,Budget,0.2254928101955131
1,Experiment,0.17386363201347882
2,Init Samples,0.01294356238432678
3,xi,0.0021332881722636284
4,kappa,0.0003448569417928358
0,Budget,0.45395460610619637
1,Experiment,0.055140389075124
2,Init Samples,0.0015461226364915153
3,xi,0.0025401954249210735
4,kappa,0.00021184909710916577
0,Budget,0.17049472290861062
1,Experiment,0.1875593088740331
2,Init Samples,0.0015250512389399233
3,xi,0.0002762420033673448
4,kappa,0.00021349286239841816
0,Budget,0.15225970366164282
1,Experiment,0.20292543407624733
2,Init Samples,0.01128168647706631
3,xi,0.0003300091482877094
4,kappa,0.0012610000042803935
